cust_id,total_tickets,resolved_tickets,fcr_flag,fcr_score
CUST_0186,7,7,1,1.0
CUST_0187,4,4,1,1.0
CUST_0188,5,5,1,1.0
CUST_0189,3,3,1,1.0
CUST_0190,4,4,1,1.0
CUST_0191,4,4,1,1.0
CUST_0192,3,3,1,1.0
CUST_0193,9,9,1,1.0
CUST_0194,7,7,1,1.0
CUST_0195,4,4,1,1.0
CUST_0196,5,5,1,1.0
CUST_0197,3,3,1,1.0
CUST_0198,6,6,1,1.0
CUST_0199,8,8,1,1.0
CUST_0200,7,7,1,1.0
CUST_0201,2,2,1,1.0
CUST_0202,3,3,1,1.0
CUST_0203,5,5,1,1.0
CUST_0204,2,2,1,1.0
CUST_0205,7,7,1,1.0
CUST_0206,4,4,1,1.0
CUST_0207,6,6,1,1.0
CUST_0208,3,3,1,1.0
CUST_0209,7,7,1,1.0
CUST_0210,1,1,1,1.0
CUST_0211,1,1,1,1.0
CUST_0212,8,8,1,1.0
CUST_0213,5,5,1,1.0
CUST_0214,11,11,1,1.0
CUST_0215,5,5,1,1.0
CUST_0216,5,5,1,1.0
CUST_0217,5,5,1,1.0
CUST_0218,4,4,1,1.0
CUST_0219,4,4,1,1.0
CUST_0220,4,4,1,1.0
CUST_0221,5,5,1,1.0
CUST_0222,5,5,1,1.0
CUST_0223,5,5,1,1.0
CUST_0224,3,3,1,1.0
CUST_0225,3,3,1,1.0
CUST_0226,1,1,1,1.0
CUST_0227,2,2,1,1.0
CUST_0228,5,5,1,1.0
CUST_0229,7,7,1,1.0
CUST_0230,9,9,1,1.0
CUST_0231,4,4,1,1.0
CUST_0232,5,5,1,1.0
CUST_0233,4,4,1,1.0
CUST_0234,6,6,1,1.0
CUST_0235,2,2,1,1.0
CUST_0236,7,7,1,1.0
CUST_0237,3,3,1,1.0
CUST_0238,4,4,1,1.0
CUST_0239,2,2,1,1.0
CUST_0240,4,4,1,1.0
CUST_0241,6,6,1,1.0
CUST_0242,7,7,1,1.0
CUST_0243,7,7,1,1.0
CUST_0244,6,6,1,1.0
CUST_0245,5,5,1,1.0
CUST_0246,5,5,1,1.0
CUST_0247,7,7,1,1.0
CUST_0248,8,8,1,1.0
CUST_0249,6,6,1,1.0
CUST_0250,4,4,1,1.0
CUST_0251,5,5,1,1.0
CUST_0252,4,4,1,1.0
CUST_0253,5,5,1,1.0
CUST_0254,2,2,1,1.0
CUST_0255,2,2,1,1.0
CUST_0256,6,6,1,1.0
CUST_0257,4,4,1,1.0
CUST_0258,8,8,1,1.0
CUST_0259,7,7,1,1.0
CUST_0260,5,5,1,1.0
CUST_0261,5,5,1,1.0
CUST_0262,8,8,1,1.0
CUST_0263,10,10,1,1.0
CUST_0264,1,1,1,1.0
CUST_0265,5,5,1,1.0
CUST_0266,7,7,1,1.0
CUST_0267,6,6,1,1.0
CUST_0268,5,5,1,1.0
CUST_0269,7,7,1,1.0
CUST_0270,3,3,1,1.0
CUST_0271,5,5,1,1.0
CUST_0272,10,10,1,1.0
CUST_0273,5,5,1,1.0
CUST_0274,4,4,1,1.0
CUST_0275,5,5,1,1.0
CUST_0276,3,3,1,1.0
CUST_0277,2,2,1,1.0
CUST_0278,1,1,1,1.0
CUST_0279,3,3,1,1.0
CUST_0280,7,7,1,1.0
CUST_0281,6,6,1,1.0
CUST_0282,7,7,1,1.0
CUST_0283,5,5,1,1.0
CUST_0284,2,2,1,1.0
CUST_0285,8,8,1,1.0
CUST_0286,4,4,1,1.0
CUST_0287,6,6,1,1.0
CUST_0288,8,8,1,1.0
CUST_0289,4,4,1,1.0
CUST_0290,4,4,1,1.0
CUST_0291,8,8,1,1.0
CUST_0292,7,7,1,1.0
CUST_0293,5,5,1,1.0
CUST_0294,6,6,1,1.0
CUST_0295,2,2,1,1.0
CUST_0296,4,4,1,1.0
CUST_0297,7,7,1,1.0
CUST_0298,7,7,1,1.0
CUST_0299,5,5,1,1.0
CUST_0300,4,4,1,1.0
CUST_0301,3,3,1,1.0
CUST_0302,8,8,1,1.0
CUST_0303,10,10,1,1.0
CUST_0304,3,3,1,1.0
CUST_0305,3,3,1,1.0
CUST_0306,3,3,1,1.0
CUST_0307,3,3,1,1.0
CUST_0308,5,5,1,1.0
CUST_0309,5,5,1,1.0
CUST_0310,3,3,1,1.0
CUST_0311,5,5,1,1.0
CUST_0312,6,6,1,1.0
CUST_0313,5,5,1,1.0
CUST_0314,4,4,1,1.0
CUST_0315,6,6,1,1.0
CUST_0316,4,4,1,1.0
CUST_0317,7,7,1,1.0
CUST_0318,8,8,1,1.0
CUST_0319,5,5,1,1.0
CUST_0320,12,12,1,1.0
CUST_0321,6,6,1,1.0
CUST_0322,5,5,1,1.0
CUST_0323,9,9,1,1.0
CUST_0324,8,8,1,1.0
CUST_0325,3,3,1,1.0
CUST_0326,5,5,1,1.0
CUST_0327,5,5,1,1.0
CUST_0328,5,5,1,1.0
CUST_0329,4,4,1,1.0
CUST_0330,13,13,1,1.0
CUST_0331,10,10,1,1.0
CUST_0332,9,9,1,1.0
CUST_0333,8,8,1,1.0
CUST_0334,5,5,1,1.0
CUST_0335,6,6,1,1.0
CUST_0336,3,3,1,1.0
CUST_0337,6,6,1,1.0
CUST_0338,5,5,1,1.0
CUST_0339,5,5,1,1.0
CUST_0340,7,7,1,1.0
CUST_0341,6,6,1,1.0
CUST_0342,2,2,1,1.0
CUST_0343,2,2,1,1.0
CUST_0344,1,1,1,1.0
CUST_0345,3,3,1,1.0
CUST_0346,6,6,1,1.0
CUST_0347,4,4,1,1.0
CUST_0348,5,5,1,1.0
CUST_0349,2,2,1,1.0
CUST_0350,5,5,1,1.0
CUST_0351,4,4,1,1.0
CUST_0352,5,5,1,1.0
CUST_0353,8,8,1,1.0
CUST_0354,7,7,1,1.0
CUST_0355,4,4,1,1.0
CUST_0356,8,8,1,1.0
CUST_0357,7,7,1,1.0
CUST_0358,6,6,1,1.0
CUST_0359,4,4,1,1.0
CUST_0360,1,1,1,1.0
CUST_0361,9,9,1,1.0
CUST_0362,2,2,1,1.0
CUST_0363,5,5,1,1.0
CUST_0364,3,3,1,1.0
CUST_0365,1,1,1,1.0
CUST_0366,7,7,1,1.0
CUST_0367,6,6,1,1.0
CUST_0368,7,7,1,1.0
CUST_0369,4,4,1,1.0
CUST_0370,6,6,1,1.0
CUST_0371,5,5,1,1.0
CUST_0372,4,4,1,1.0
CUST_0373,2,2,1,1.0
CUST_0374,7,7,1,1.0
CUST_0375,6,6,1,1.0
CUST_0376,3,3,1,1.0
CUST_0377,3,3,1,1.0
CUST_0378,3,3,1,1.0
CUST_0379,8,8,1,1.0
CUST_0380,4,4,1,1.0
CUST_0381,2,2,1,1.0
CUST_0382,5,5,1,1.0
CUST_0383,8,8,1,1.0
CUST_0384,7,7,1,1.0
CUST_0385,4,4,1,1.0
CUST_0386,6,6,1,1.0
CUST_0387,2,2,1,1.0
CUST_0388,7,7,1,1.0
CUST_0389,4,4,1,1.0
CUST_0390,6,6,1,1.0
CUST_0391,1,1,1,1.0
CUST_0392,6,6,1,1.0
CUST_0393,8,8,1,1.0
CUST_0394,5,5,1,1.0
CUST_0396,6,6,1,1.0
CUST_0397,7,7,1,1.0
CUST_0398,3,3,1,1.0
CUST_0399,6,6,1,1.0
CUST_0400,9,9,1,1.0
CUST_0401,2,2,1,1.0
CUST_0402,7,7,1,1.0
CUST_0403,6,6,1,1.0
CUST_0404,5,5,1,1.0
CUST_0405,2,2,1,1.0
CUST_0406,9,9,1,1.0
CUST_0407,2,2,1,1.0
CUST_0408,3,3,1,1.0
CUST_0409,6,6,1,1.0
CUST_0410,6,6,1,1.0
CUST_0411,8,8,1,1.0
CUST_0412,3,3,1,1.0
CUST_0413,7,7,1,1.0
CUST_0414,8,8,1,1.0
CUST_0415,5,5,1,1.0
CUST_0416,5,5,1,1.0
CUST_0417,6,6,1,1.0
CUST_0418,2,2,1,1.0
CUST_0419,6,6,1,1.0
CUST_0420,6,6,1,1.0
CUST_0421,7,7,1,1.0
CUST_0422,3,3,1,1.0
CUST_0423,7,7,1,1.0
CUST_0424,6,6,1,1.0
CUST_0425,6,6,1,1.0
CUST_0426,6,6,1,1.0
CUST_0427,4,4,1,1.0
CUST_0428,10,10,1,1.0
CUST_0429,10,10,1,1.0
CUST_0430,9,9,1,1.0
CUST_0431,5,5,1,1.0
CUST_0432,4,4,1,1.0
CUST_0433,7,7,1,1.0
CUST_0435,6,6,1,1.0
CUST_0436,9,9,1,1.0
CUST_0437,7,7,1,1.0
CUST_0438,5,5,1,1.0
CUST_0439,7,7,1,1.0
CUST_0440,1,1,1,1.0
CUST_0441,2,2,1,1.0
CUST_0442,8,8,1,1.0
CUST_0443,3,3,1,1.0
CUST_0444,3,3,1,1.0
CUST_0445,6,6,1,1.0
CUST_0446,5,5,1,1.0
CUST_0447,1,1,1,1.0
CUST_0448,4,4,1,1.0
CUST_0449,5,5,1,1.0
CUST_0450,3,3,1,1.0
CUST_0451,2,2,1,1.0
CUST_0452,10,10,1,1.0
CUST_0453,5,5,1,1.0
CUST_0454,4,4,1,1.0
CUST_0455,3,3,1,1.0
CUST_0456,2,2,1,1.0
CUST_0457,4,4,1,1.0
CUST_0458,4,4,1,1.0
CUST_0459,5,5,1,1.0
CUST_0460,6,6,1,1.0
CUST_0461,3,3,1,1.0
CUST_0462,5,5,1,1.0
CUST_0463,8,8,1,1.0
CUST_0464,2,2,1,1.0
CUST_0465,2,2,1,1.0
CUST_0466,4,4,1,1.0
CUST_0467,4,4,1,1.0
CUST_0468,1,1,1,1.0
CUST_0469,2,2,1,1.0
CUST_0470,8,8,1,1.0
CUST_0471,4,4,1,1.0
CUST_0472,9,9,1,1.0
CUST_0473,11,11,1,1.0
CUST_0474,5,5,1,1.0
CUST_0475,5,5,1,1.0
CUST_0476,4,4,1,1.0
CUST_0477,4,4,1,1.0
CUST_0478,5,5,1,1.0
CUST_0479,1,1,1,1.0
CUST_0480,4,4,1,1.0
CUST_0481,3,3,1,1.0
CUST_0482,6,6,1,1.0
CUST_0483,4,4,1,1.0
CUST_0484,1,1,1,1.0
CUST_0485,5,5,1,1.0
CUST_0486,4,4,1,1.0
CUST_0487,3,3,1,1.0
CUST_0488,10,10,1,1.0
CUST_0489,6,6,1,1.0
CUST_0490,6,6,1,1.0
CUST_0491,2,2,1,1.0
CUST_0492,4,4,1,1.0
CUST_0493,7,7,1,1.0
CUST_0494,5,5,1,1.0
CUST_0495,5,5,1,1.0
CUST_0496,4,4,1,1.0
CUST_0497,2,2,1,1.0
CUST_0498,2,2,1,1.0
CUST_0499,6,6,1,1.0
CUST_0500,5,5,1,1.0
CUST_0501,5,5,1,1.0
CUST_0502,9,9,1,1.0
CUST_0503,2,2,1,1.0
CUST_0504,4,4,1,1.0
CUST_0505,10,10,1,1.0
CUST_0506,4,4,1,1.0
CUST_0507,3,3,1,1.0
CUST_0508,2,2,1,1.0
CUST_0509,3,3,1,1.0
CUST_0510,6,6,1,1.0
CUST_0511,7,7,1,1.0
CUST_0512,5,5,1,1.0
CUST_0513,5,5,1,1.0
CUST_0514,3,3,1,1.0
CUST_0515,7,7,1,1.0
CUST_0516,7,7,1,1.0
CUST_0517,2,2,1,1.0
CUST_0518,5,5,1,1.0
CUST_0519,4,4,1,1.0
CUST_0520,8,8,1,1.0
CUST_0521,7,7,1,1.0
CUST_0522,6,6,1,1.0
CUST_0523,2,2,1,1.0
CUST_0524,9,9,1,1.0
CUST_0525,1,1,1,1.0
CUST_0526,2,2,1,1.0
CUST_0527,7,7,1,1.0
CUST_0528,3,3,1,1.0
CUST_0529,1,1,1,1.0
CUST_0530,1,1,1,1.0
CUST_0531,4,4,1,1.0
CUST_0532,6,6,1,1.0
CUST_0533,5,5,1,1.0
CUST_0535,7,7,1,1.0
CUST_0536,1,1,1,1.0
CUST_0537,6,6,1,1.0
CUST_0538,1,1,1,1.0
CUST_0539,6,6,1,1.0
CUST_0540,6,6,1,1.0
CUST_0541,5,5,1,1.0
CUST_0542,4,4,1,1.0
CUST_0543,2,2,1,1.0
CUST_0544,8,8,1,1.0
CUST_0545,4,4,1,1.0
CUST_0546,4,4,1,1.0
CUST_0547,5,5,1,1.0
CUST_0548,6,6,1,1.0
CUST_0549,5,5,1,1.0
CUST_0550,6,6,1,1.0
CUST_0551,4,4,1,1.0
CUST_0552,3,3,1,1.0
CUST_0553,4,4,1,1.0
CUST_0554,8,8,1,1.0
CUST_0555,5,5,1,1.0
CUST_0556,1,1,1,1.0
CUST_0557,4,4,1,1.0
CUST_0558,2,2,1,1.0
CUST_0559,3,3,1,1.0
CUST_0560,5,5,1,1.0
CUST_0561,4,4,1,1.0
CUST_0562,9,9,1,1.0
CUST_0563,3,3,1,1.0
CUST_0564,3,3,1,1.0
CUST_0565,6,6,1,1.0
CUST_0566,4,4,1,1.0
CUST_0567,6,6,1,1.0
CUST_0568,6,6,1,1.0
CUST_0569,6,6,1,1.0
CUST_0570,7,7,1,1.0
CUST_0571,3,3,1,1.0
CUST_0572,3,3,1,1.0
CUST_0573,7,7,1,1.0
CUST_0574,8,8,1,1.0
CUST_0575,5,5,1,1.0
CUST_0576,4,4,1,1.0
CUST_0577,2,2,1,1.0
CUST_0578,4,4,1,1.0
CUST_0579,6,6,1,1.0
CUST_0580,4,4,1,1.0
CUST_0581,3,3,1,1.0
CUST_0582,4,4,1,1.0
CUST_0583,8,8,1,1.0
CUST_0584,6,6,1,1.0
CUST_0585,4,4,1,1.0
CUST_0586,6,6,1,1.0
CUST_0588,3,3,1,1.0
CUST_0589,4,4,1,1.0
CUST_0590,4,4,1,1.0
CUST_0591,3,3,1,1.0
CUST_0592,5,5,1,1.0
CUST_0593,5,5,1,1.0
CUST_0594,6,6,1,1.0
CUST_0595,8,8,1,1.0
CUST_0596,6,6,1,1.0
CUST_0597,5,5,1,1.0
CUST_0598,1,1,1,1.0
CUST_0599,6,6,1,1.0
CUST_0600,6,6,1,1.0
CUST_0601,4,4,1,1.0
CUST_0602,6,6,1,1.0
CUST_0603,3,3,1,1.0
CUST_0604,10,10,1,1.0
CUST_0605,7,7,1,1.0
CUST_0606,1,1,1,1.0
CUST_0607,3,3,1,1.0
CUST_0608,6,6,1,1.0
CUST_0609,2,2,1,1.0
CUST_0610,3,3,1,1.0
CUST_0611,5,5,1,1.0
CUST_0612,4,4,1,1.0
CUST_0613,7,7,1,1.0
CUST_0614,5,5,1,1.0
CUST_0615,6,6,1,1.0
CUST_0616,6,6,1,1.0
CUST_0617,8,8,1,1.0
CUST_0618,3,3,1,1.0
CUST_0619,6,6,1,1.0
CUST_0620,6,6,1,1.0
CUST_0621,6,6,1,1.0
CUST_0622,3,3,1,1.0
CUST_0623,3,3,1,1.0
CUST_0624,3,3,1,1.0
CUST_0625,4,4,1,1.0
CUST_0626,10,10,1,1.0
CUST_0627,5,5,1,1.0
CUST_0628,6,6,1,1.0
CUST_0629,4,4,1,1.0
CUST_0630,5,5,1,1.0
CUST_0631,10,10,1,1.0
CUST_0632,5,5,1,1.0
CUST_0633,10,10,1,1.0
CUST_0634,4,4,1,1.0
CUST_0635,2,2,1,1.0
CUST_0636,4,4,1,1.0
CUST_0637,6,6,1,1.0
CUST_0638,1,1,1,1.0
CUST_0639,5,5,1,1.0
CUST_0640,9,9,1,1.0
CUST_0641,3,3,1,1.0
CUST_0642,9,9,1,1.0
CUST_0643,7,7,1,1.0
CUST_0644,5,5,1,1.0
CUST_0645,3,3,1,1.0
CUST_0646,3,3,1,1.0
CUST_0647,4,4,1,1.0
CUST_0648,4,4,1,1.0
CUST_0649,8,8,1,1.0
CUST_0650,3,3,1,1.0
CUST_0651,5,5,1,1.0
CUST_0652,3,3,1,1.0
CUST_0653,5,5,1,1.0
CUST_0654,3,3,1,1.0
CUST_0655,2,2,1,1.0
CUST_0656,3,3,1,1.0
CUST_0657,5,5,1,1.0
CUST_0658,6,6,1,1.0
CUST_0659,7,7,1,1.0
CUST_0660,8,8,1,1.0
CUST_0661,2,2,1,1.0
CUST_0662,7,7,1,1.0
CUST_0663,7,7,1,1.0
CUST_0664,5,5,1,1.0
CUST_0665,3,3,1,1.0
CUST_0666,7,7,1,1.0
CUST_0667,6,6,1,1.0
CUST_0668,6,6,1,1.0
CUST_0669,3,3,1,1.0
CUST_0670,4,4,1,1.0
CUST_0671,2,2,1,1.0
CUST_0672,3,3,1,1.0
CUST_0673,8,8,1,1.0
CUST_0674,8,8,1,1.0
CUST_0675,3,3,1,1.0
CUST_0676,3,3,1,1.0
CUST_0677,4,4,1,1.0
CUST_0678,4,4,1,1.0
CUST_0679,2,2,1,1.0
CUST_0680,4,4,1,1.0
CUST_0681,7,7,1,1.0
CUST_0682,6,6,1,1.0
CUST_0683,2,2,1,1.0
CUST_0684,7,7,1,1.0
CUST_0685,2,2,1,1.0
CUST_0686,3,3,1,1.0
CUST_0687,2,2,1,1.0
CUST_0688,2,2,1,1.0
CUST_0689,3,3,1,1.0
CUST_0690,5,5,1,1.0
CUST_0691,3,3,1,1.0
CUST_0692,3,3,1,1.0
CUST_0693,5,5,1,1.0
CUST_0694,2,2,1,1.0
CUST_0695,9,9,1,1.0
CUST_0696,8,8,1,1.0
CUST_0697,7,7,1,1.0
CUST_0698,8,8,1,1.0
CUST_0699,5,5,1,1.0
CUST_0700,4,4,1,1.0
CUST_0701,5,5,1,1.0
CUST_0702,5,5,1,1.0
CUST_0703,7,7,1,1.0
CUST_0704,1,1,1,1.0
CUST_0705,4,4,1,1.0
CUST_0706,2,2,1,1.0
CUST_0707,7,7,1,1.0
CUST_0708,6,6,1,1.0
CUST_0709,6,6,1,1.0
CUST_0710,6,6,1,1.0
CUST_0711,4,4,1,1.0
CUST_0712,5,5,1,1.0
CUST_0713,6,6,1,1.0
CUST_0714,5,5,1,1.0
CUST_0715,8,8,1,1.0
CUST_0716,5,5,1,1.0
CUST_0717,6,6,1,1.0
CUST_0718,3,3,1,1.0
CUST_0719,6,6,1,1.0
CUST_0720,6,6,1,1.0
CUST_0721,8,8,1,1.0
CUST_0722,3,3,1,1.0
CUST_0723,4,4,1,1.0
CUST_0724,6,6,1,1.0
CUST_0725,4,4,1,1.0
CUST_0726,6,6,1,1.0
CUST_0727,6,6,1,1.0
CUST_0728,11,11,1,1.0
CUST_0729,2,2,1,1.0
CUST_0730,7,7,1,1.0
CUST_0731,5,5,1,1.0
CUST_0732,5,5,1,1.0
CUST_0733,4,4,1,1.0
CUST_0734,2,2,1,1.0
CUST_0735,5,5,1,1.0
CUST_0736,3,3,1,1.0
CUST_0737,4,4,1,1.0
CUST_0738,5,5,1,1.0
CUST_0739,5,5,1,1.0
CUST_0740,3,3,1,1.0
CUST_0741,8,8,1,1.0
CUST_0742,3,3,1,1.0
CUST_0743,6,6,1,1.0
CUST_0744,1,1,1,1.0
CUST_0745,4,4,1,1.0
CUST_0746,5,5,1,1.0
CUST_0747,6,6,1,1.0
CUST_0748,7,7,1,1.0
CUST_0749,4,4,1,1.0
CUST_0750,6,6,1,1.0
CUST_0751,3,3,1,1.0
CUST_0752,6,6,1,1.0
CUST_0753,2,2,1,1.0
CUST_0754,3,3,1,1.0
CUST_0755,4,4,1,1.0
CUST_0756,6,6,1,1.0
CUST_0758,4,4,1,1.0
CUST_0759,4,4,1,1.0
CUST_0760,5,5,1,1.0
CUST_0761,2,2,1,1.0
CUST_0762,10,10,1,1.0
CUST_0763,5,5,1,1.0
CUST_0764,1,1,1,1.0
CUST_0765,5,5,1,1.0
CUST_0766,1,1,1,1.0
CUST_0767,9,9,1,1.0
CUST_0768,5,5,1,1.0
CUST_0769,7,7,1,1.0
CUST_0770,5,5,1,1.0
CUST_0771,1,1,1,1.0
CUST_0772,3,3,1,1.0
CUST_0773,6,6,1,1.0
CUST_0774,5,5,1,1.0
CUST_0775,5,5,1,1.0
CUST_0776,5,5,1,1.0
CUST_0777,4,4,1,1.0
CUST_0778,8,8,1,1.0
CUST_0779,4,4,1,1.0
CUST_0780,2,2,1,1.0
CUST_0781,7,7,1,1.0
CUST_0782,6,6,1,1.0
CUST_0783,6,6,1,1.0
CUST_0784,9,9,1,1.0
CUST_0785,6,6,1,1.0
CUST_0786,6,6,1,1.0
CUST_0787,5,5,1,1.0
CUST_0788,8,8,1,1.0
CUST_0789,8,8,1,1.0
CUST_0790,5,5,1,1.0
CUST_0791,6,6,1,1.0
CUST_0792,6,6,1,1.0
CUST_0793,6,6,1,1.0
CUST_0794,3,3,1,1.0
CUST_0795,4,4,1,1.0
CUST_0796,3,3,1,1.0
CUST_0797,5,5,1,1.0
CUST_0798,4,4,1,1.0
CUST_0799,7,7,1,1.0
CUST_0800,6,6,1,1.0
CUST_0801,6,6,1,1.0
CUST_0802,6,6,1,1.0
CUST_0803,5,5,1,1.0
CUST_0804,11,11,1,1.0
CUST_0805,7,7,1,1.0
CUST_0806,6,6,1,1.0
CUST_0807,12,12,1,1.0
CUST_0808,2,2,1,1.0
CUST_0809,7,7,1,1.0
CUST_0810,9,9,1,1.0
CUST_0811,8,8,1,1.0
CUST_0812,6,6,1,1.0
CUST_0813,8,8,1,1.0
CUST_0814,3,3,1,1.0
CUST_0815,6,6,1,1.0
CUST_0816,10,10,1,1.0
CUST_0817,6,6,1,1.0
CUST_0818,6,6,1,1.0
CUST_0819,5,5,1,1.0
CUST_0820,9,9,1,1.0
CUST_0821,8,8,1,1.0
CUST_0822,5,5,1,1.0
CUST_0823,6,6,1,1.0
CUST_0824,4,4,1,1.0
CUST_0825,7,7,1,1.0
