tower_id,hour_id,drop_call_rate,utilization_pct
TWR_339,2025-05-24 09:42:08,30.54,61.94
TWR_327,2025-02-13 06:49:41,13.88,72.69
TWR_378,2025-04-17 11:27:08,79.32,21.1
TWR_388,2025-11-11 22:39:32,4.9,33.32
TWR_330,2025-08-12 19:30:55,44.73,76.22
TWR_141,2025-11-28 14:44:07,26.09,1.13
TWR_186,2025-05-25 06:00:23,65.91,54.7
TWR_024,2025-10-20 16:33:42,49.02,39.57
TWR_469,2025-01-28 04:46:14,10.19,40.64
TWR_458,2025-08-31 15:43:05,21.9,37.55
TWR_203,2025-12-24 22:12:31,94.59,49.73
TWR_156,2025-04-25 06:59:11,40.03,48.29
TWR_227,2025-10-14 18:30:22,6.73,16.61
TWR_270,2025-10-14 09:19:35,34.27,22.52
TWR_445,2025-02-17 03:49:53,38.77,36.49
TWR_067,2025-11-12 19:50:16,11.21,85.65
TWR_493,2025-01-01 22:01:30,7.22,41.64
TWR_075,2025-10-12 10:34:19,97.14,80.69
TWR_185,2025-02-05 12:01:04,51.94,55.13
TWR_480,2025-01-05 06:20:44,69.03,2.26
TWR_248,2025-06-04 16:43:19,35.38,70.92
TWR_281,2025-11-01 04:08:13,79.42,25.03
TWR_333,2025-11-05 22:04:46,62.57,7.42
TWR_083,2025-02-14 03:18:04,6.51,35.24
TWR_421,2025-01-22 06:10:52,4.11,48.11
TWR_228,2025-07-27 23:46:24,58.63,74.82
TWR_467,2025-09-23 22:57:16,94.68,54.46
TWR_229,2025-04-03 13:41:13,44.4,80.63
TWR_206,2025-11-07 22:25:40,79.07,38.87
TWR_065,2025-07-23 21:36:58,91.31,93.37
TWR_082,2025-06-18 10:53:35,71.56,51.19
TWR_188,2025-05-11 04:43:12,57.17,7.17
TWR_242,2025-04-14 11:18:12,44.15,34.33
TWR_437,2025-07-13 04:36:06,25.72,58.3
TWR_420,2025-08-02 21:21:38,51.15,15.77
TWR_432,2025-05-13 02:10:27,96.2,34.68
TWR_076,2025-03-06 07:11:19,68.36,3.54
TWR_087,2025-06-10 16:46:29,79.25,34.41
TWR_397,2025-09-13 14:53:22,69.65,82.6
TWR_210,2025-11-26 23:35:13,9.64,0.58
TWR_394,2025-04-11 22:23:27,71.65,6.43
TWR_011,2025-05-02 09:26:32,0.84,59.99
TWR_032,2025-10-05 01:41:55,66.02,57.69
TWR_245,2025-01-20 17:37:29,94.87,35.19
TWR_007,2025-12-07 00:51:56,53.56,80.14
TWR_293,2025-10-22 07:33:32,53.09,96.32
TWR_231,2025-02-25 10:00:44,92.21,72.06
TWR_269,2025-11-06 00:01:15,70.38,49.84
TWR_267,2025-07-11 16:45:03,1.11,69.88
TWR_461,2025-03-21 15:46:01,78.6,69.68
TWR_162,2025-05-12 01:27:30,9.41,56.98
TWR_238,2025-09-09 18:10:18,17.64,49.39
TWR_033,2025-06-07 17:14:16,63.04,96.61
TWR_329,2025-05-25 21:21:55,61.46,79.28
TWR_167,2025-07-16 13:39:34,76.98,55.17
TWR_331,2025-03-20 19:28:18,96.92,39.85
TWR_257,2025-05-28 13:34:45,13.21,97.87
TWR_033,2025-06-01 23:34:07,32.99,13.98
TWR_093,2025-04-17 18:03:07,11.44,38.66
TWR_332,2025-02-24 01:11:20,91.09,48.79
TWR_219,2025-02-05 11:52:11,72.09,80.11
TWR_398,2025-10-15 03:41:39,95.45,81.9
TWR_354,2025-10-13 06:22:37,52.06,59.31
TWR_264,2025-12-28 18:26:23,69.85,72.03
TWR_385,2025-08-01 08:54:25,65.61,88.07
TWR_391,2025-08-03 22:12:09,4.33,54.08
TWR_329,2025-08-13 00:27:10,18.71,42.46
TWR_070,2025-06-20 16:04:03,82.14,4.68
TWR_352,2025-01-24 16:43:10,40.87,76.74
TWR_267,2025-03-20 18:25:36,50.97,10.77
TWR_178,2025-02-13 01:20:45,32.73,14.84
TWR_397,2025-07-01 06:12:10,37.19,61.86
TWR_281,2025-10-03 23:07:10,96.72,55.06
TWR_060,2025-11-03 22:45:43,27.6,17.34
TWR_140,2025-06-22 09:59:05,45.2,82.0
TWR_440,2025-07-22 09:09:56,2.86,58.09
TWR_367,2025-09-18 03:28:18,31.86,34.08
TWR_431,2025-02-03 18:07:42,35.96,3.21
TWR_288,2025-09-29 01:21:08,33.09,4.23
TWR_043,2025-07-17 12:11:10,20.21,40.06
TWR_012,2025-03-04 23:52:18,17.17,68.86
TWR_159,2025-03-22 07:17:38,18.33,99.13
TWR_019,2025-12-13 09:59:14,88.6,46.51
TWR_011,2025-10-25 14:57:12,42.8,67.99
TWR_141,2025-07-25 22:24:51,28.54,44.9
TWR_491,2025-02-14 16:16:03,29.47,59.47
TWR_472,2025-08-19 04:54:24,57.12,14.59
TWR_407,2025-07-19 06:53:10,81.18,63.28
TWR_380,2025-03-09 05:21:10,44.9,12.59
TWR_085,2025-09-03 17:39:01,18.61,25.01
TWR_280,2025-02-22 23:21:40,3.47,75.88
TWR_061,2025-11-17 01:12:58,16.29,37.21
TWR_203,2025-05-08 02:46:55,82.07,18.94
TWR_330,2025-08-18 17:16:27,28.06,49.78
TWR_069,2025-01-02 06:06:02,82.85,84.92
TWR_170,2025-01-19 10:03:52,47.09,92.57
TWR_073,2025-03-07 12:58:20,79.16,65.42
TWR_085,2025-02-28 22:24:20,20.17,43.54
TWR_043,2025-08-12 16:09:47,67.2,97.73
TWR_419,2025-05-30 07:03:34,9.21,98.59
TWR_101,2025-10-07 21:11:22,44.61,28.14
TWR_253,2025-07-08 11:20:37,50.7,58.77
TWR_018,2025-03-04 18:44:55,57.51,60.05
TWR_427,2025-02-11 14:52:46,48.4,61.03
TWR_364,2025-12-30 18:13:47,30.63,42.12
TWR_267,2025-12-08 20:39:30,82.39,34.45
TWR_256,2025-01-16 19:39:39,53.48,97.77
TWR_474,2025-07-15 23:17:24,18.54,59.24
TWR_129,2025-04-08 00:11:53,43.94,90.78
TWR_473,2025-01-27 22:24:50,33.71,61.29
TWR_228,2025-06-21 10:25:38,65.72,51.07
TWR_070,2025-08-21 20:51:08,28.36,51.26
TWR_070,2025-09-19 18:55:26,54.79,3.2
TWR_440,2025-08-12 06:51:44,89.65,70.77
TWR_116,2025-01-14 11:29:53,22.64,82.55
TWR_387,2025-02-06 05:48:59,21.57,43.72
TWR_082,2025-04-03 23:27:24,36.61,41.05
TWR_108,2025-09-28 11:59:21,64.77,79.45
TWR_359,2025-03-21 09:25:02,99.85,66.16
TWR_224,2025-06-21 00:58:49,60.53,10.07
TWR_465,2025-08-01 08:08:57,38.5,57.62
TWR_097,2025-07-02 21:59:34,37.19,3.15
TWR_231,2025-12-16 12:38:41,77.72,90.94
TWR_482,2025-02-27 21:30:36,44.21,91.22
TWR_470,2025-02-05 03:46:55,50.4,20.72
TWR_005,2025-10-13 00:31:31,95.37,40.42
TWR_466,2025-08-28 09:21:30,35.83,21.84
TWR_065,2025-02-13 04:42:23,91.06,0.35
TWR_206,2025-12-16 18:19:38,94.7,25.82
TWR_289,2025-03-19 09:22:49,32.12,73.19
TWR_175,2025-12-26 19:21:38,78.94,98.66
TWR_130,2025-02-11 00:11:58,21.33,27.5
TWR_278,2025-03-24 17:00:37,95.84,89.66
TWR_466,2025-12-19 08:03:21,61.76,85.87
TWR_328,2025-01-26 09:43:59,26.5,63.05
TWR_086,2025-09-01 21:03:06,16.16,22.47
TWR_242,2025-10-02 13:52:54,55.25,68.58
TWR_335,2025-07-13 13:42:41,13.76,80.64
TWR_363,2025-02-13 02:05:13,14.21,70.22
TWR_278,2025-08-09 04:25:01,44.28,56.53
TWR_231,2025-07-20 11:44:21,35.07,0.5
TWR_217,2025-02-16 15:42:52,68.5,4.24
TWR_037,2025-04-12 20:01:14,32.65,94.93
TWR_030,2025-03-13 15:54:24,46.01,20.76
TWR_368,2025-03-16 23:28:02,16.17,11.77
TWR_014,2025-07-12 05:26:03,35.74,86.14
TWR_283,2025-11-19 11:02:35,90.91,60.08
TWR_095,2025-04-01 06:22:58,81.38,31.52
TWR_324,2025-04-28 12:45:26,97.48,34.18
TWR_380,2025-05-31 01:57:20,7.36,33.82
TWR_039,2025-04-07 22:37:51,8.63,57.59
TWR_033,2025-09-11 20:19:27,57.9,49.26
TWR_234,2025-06-15 17:28:03,39.34,65.7
TWR_337,2025-10-13 14:30:01,34.17,73.99
TWR_002,2025-02-22 00:10:27,49.8,4.38
TWR_157,2025-06-09 06:43:57,4.68,1.6
TWR_059,2025-05-03 10:41:02,70.37,1.96
TWR_378,2025-01-07 14:54:52,10.59,30.11
TWR_335,2025-10-03 07:24:50,27.49,0.79
TWR_206,2025-11-04 12:47:38,12.92,29.85
TWR_275,2025-11-15 22:39:28,23.66,33.3
TWR_192,2025-02-11 01:10:03,68.62,61.31
TWR_019,2025-05-17 14:26:02,38.22,8.46
TWR_113,2025-05-22 17:24:53,91.12,73.52
TWR_441,2025-06-25 09:59:34,32.68,49.13
TWR_146,2025-05-09 13:49:39,8.64,76.72
TWR_213,2025-01-23 02:14:20,50.41,55.6
TWR_083,2025-01-22 17:54:44,78.47,78.97
TWR_115,2025-12-28 08:51:07,95.7,39.87
TWR_352,2025-08-21 23:21:38,94.65,31.7
TWR_193,2025-02-27 21:11:36,58.0,9.59
TWR_263,2025-11-04 12:23:02,45.16,96.24
TWR_124,2025-04-24 12:33:27,21.28,49.86
TWR_453,2025-12-23 14:49:22,30.34,75.92
TWR_469,2025-05-02 17:15:32,36.46,34.58
TWR_071,2025-05-27 02:01:11,54.54,48.04
TWR_181,2025-03-12 12:44:20,43.99,32.6
TWR_176,2025-08-29 06:20:54,76.38,56.4
TWR_337,2025-05-30 17:51:32,78.84,48.35
TWR_369,2025-03-01 17:15:37,69.67,53.73
TWR_460,2025-04-20 07:37:49,66.43,53.03
TWR_283,2025-07-23 07:35:03,32.14,27.95
TWR_297,2025-01-16 21:19:10,91.73,11.57
TWR_328,2025-01-15 11:43:04,83.52,23.83
TWR_245,2025-11-26 12:20:11,11.03,50.22
TWR_017,2025-09-27 02:40:15,44.77,24.45
TWR_134,2025-02-04 11:48:18,79.15,47.24
TWR_337,2025-12-08 14:47:06,29.54,46.67
TWR_194,2025-11-28 02:19:18,84.69,99.88
TWR_303,2025-10-25 03:11:01,57.84,85.64
TWR_289,2025-09-08 18:32:16,58.48,96.62
TWR_042,2025-07-11 14:12:17,6.24,41.03
TWR_143,2025-05-28 21:35:17,27.04,53.47
TWR_034,2025-06-22 14:27:48,77.55,5.55
TWR_119,2025-10-13 22:33:22,89.04,18.48
TWR_046,2025-04-18 05:56:01,79.21,48.97
TWR_086,2025-06-19 14:05:08,25.6,79.11
TWR_249,2025-08-05 17:45:44,64.28,72.08
TWR_461,2025-05-20 14:21:00,24.91,28.96
TWR_497,2025-06-18 04:28:23,10.64,50.12
TWR_108,2025-04-07 14:21:54,93.07,78.21
TWR_069,2025-01-02 12:12:34,63.06,83.86
TWR_059,2025-07-01 18:37:14,39.53,43.85
TWR_323,2025-07-19 12:57:57,46.72,40.36
TWR_487,2025-04-23 18:10:17,43.2,45.01
TWR_087,2025-05-05 17:28:21,11.71,16.86
TWR_017,2025-05-01 22:54:40,85.13,9.88
TWR_048,2025-05-16 23:02:15,13.92,97.25
TWR_297,2025-10-31 17:44:14,63.32,89.27
TWR_441,2025-04-03 00:50:14,21.2,80.64
TWR_439,2025-05-14 19:29:33,15.31,73.95
TWR_154,2025-06-20 09:28:31,1.64,75.09
TWR_044,2025-07-11 15:34:53,88.45,28.34
TWR_262,2025-08-26 11:02:41,96.36,55.14
TWR_154,2025-12-01 11:07:07,81.06,52.89
TWR_040,2025-04-11 07:02:36,53.33,8.32
TWR_035,2025-03-07 02:47:54,56.84,7.57
TWR_188,2025-07-03 14:03:14,20.39,42.4
TWR_070,2025-06-19 19:13:55,35.59,55.67
TWR_194,2025-03-03 09:38:02,63.45,33.78
TWR_008,2025-02-03 08:58:11,35.47,16.57
TWR_118,2025-06-19 20:11:20,83.91,37.12
TWR_483,2025-05-09 13:56:00,45.11,10.47
TWR_119,2025-11-11 02:01:06,61.49,43.06
TWR_206,2025-04-22 18:03:45,23.07,79.2
TWR_381,2025-11-22 04:30:55,46.06,32.69
TWR_264,2025-03-07 06:30:11,72.68,57.12
TWR_207,2025-09-24 18:03:54,3.43,49.54
TWR_279,2025-05-12 00:38:47,65.49,26.68
TWR_496,2025-12-02 08:12:46,54.85,69.58
TWR_190,2025-07-05 12:30:21,2.51,83.05
TWR_268,2025-08-26 22:54:59,74.23,12.28
TWR_447,2025-11-26 01:34:25,51.55,51.41
TWR_218,2025-10-14 03:52:03,17.69,69.27
TWR_102,2025-07-23 21:23:09,13.64,46.38
TWR_189,2025-11-06 01:56:48,89.61,14.48
TWR_218,2025-10-18 09:25:49,76.85,79.02
TWR_212,2025-09-18 05:07:18,19.47,86.71
TWR_140,2025-10-26 15:20:53,55.84,7.32
TWR_357,2025-04-13 08:09:06,74.65,30.88
TWR_073,2025-11-06 15:39:56,50.66,16.53
TWR_298,2025-07-13 01:15:50,54.15,67.45
TWR_206,2025-09-06 21:01:50,97.15,75.99
TWR_276,2025-11-06 20:41:44,0.52,49.91
TWR_384,2025-05-12 02:02:22,20.41,44.55
TWR_245,2025-11-09 13:44:18,49.84,53.31
TWR_097,2025-07-06 04:39:28,0.83,34.56
TWR_476,2025-05-15 00:43:19,61.46,67.85
TWR_451,2025-02-13 07:23:01,32.11,65.91
TWR_104,2025-10-10 00:22:21,39.9,51.05
TWR_079,2025-05-30 08:56:41,83.59,77.93
TWR_275,2025-01-14 12:37:58,10.67,67.17
TWR_211,2025-04-08 23:40:25,2.89,46.61
TWR_360,2025-11-20 11:00:08,49.57,72.06
TWR_238,2025-05-15 11:22:39,59.83,49.68
TWR_307,2025-02-10 13:16:43,77.93,96.87
TWR_204,2025-02-13 21:23:25,65.3,38.51
TWR_044,2025-05-10 00:30:32,69.66,26.5
TWR_287,2025-12-14 14:50:58,82.78,41.44
TWR_494,2025-02-26 10:42:07,92.34,75.35
TWR_153,2025-05-28 04:11:21,27.37,80.76
TWR_426,2025-09-22 15:16:06,57.48,66.86
TWR_166,2025-09-15 16:22:18,74.49,27.15
TWR_292,2025-03-18 07:24:28,41.02,23.96
TWR_283,2025-11-23 14:31:05,75.75,9.95
TWR_379,2025-01-24 09:01:24,74.18,52.75
TWR_011,2025-09-18 06:56:09,34.52,58.23
TWR_151,2025-04-30 05:25:41,22.23,94.56
TWR_330,2025-10-21 13:01:05,99.78,1.48
TWR_427,2025-08-11 20:46:39,66.53,38.16
TWR_153,2025-01-05 06:44:12,22.95,47.75
TWR_380,2025-05-27 13:39:47,46.57,71.35
TWR_422,2025-04-24 06:53:39,84.19,99.32
TWR_470,2025-03-02 13:31:11,71.55,59.44
TWR_378,2025-05-06 12:43:34,67.85,19.64
TWR_045,2025-03-23 21:33:45,99.68,23.66
TWR_249,2025-01-25 18:04:13,65.28,57.15
TWR_135,2025-03-31 02:22:38,94.2,86.57
TWR_142,2025-11-11 23:09:19,87.57,74.53
TWR_191,2025-12-09 13:48:57,33.3,6.24
TWR_035,2025-09-08 22:39:02,35.58,13.98
TWR_268,2025-01-31 01:40:32,34.78,76.43
TWR_109,2025-07-10 22:01:57,56.17,8.82
TWR_474,2025-01-24 11:38:05,42.35,79.83
TWR_004,2025-07-16 08:24:36,65.58,62.65
TWR_088,2025-10-09 19:58:08,14.43,53.96
TWR_179,2025-09-08 11:43:57,97.28,29.4
TWR_492,2025-06-07 16:53:23,26.5,20.05
TWR_303,2025-07-09 05:48:23,75.4,94.2
TWR_357,2025-05-16 23:37:47,21.19,46.6
TWR_073,2025-08-31 20:45:44,36.7,30.8
TWR_303,2025-02-21 01:50:47,62.78,75.72
TWR_396,2025-10-30 02:17:09,31.95,86.07
TWR_220,2025-06-12 16:18:58,34.31,27.11
TWR_267,2025-04-10 15:45:31,53.69,40.21
TWR_367,2025-01-18 23:32:12,79.91,81.21
TWR_037,2025-06-14 14:50:30,98.04,11.2
TWR_479,2025-02-26 00:09:20,46.86,55.13
TWR_139,2025-11-13 12:27:02,34.37,64.22
TWR_448,2025-09-04 08:54:32,77.74,40.17
TWR_353,2025-06-26 07:41:21,40.67,62.12
TWR_026,2025-03-03 09:38:39,97.92,72.98
TWR_042,2025-02-17 21:29:20,60.71,30.97
TWR_404,2025-12-18 16:57:12,99.03,74.0
TWR_231,2025-09-06 05:07:30,79.24,68.32
TWR_190,2025-11-22 11:46:35,51.93,8.92
TWR_454,2025-03-12 22:43:58,70.62,63.14
TWR_245,2025-04-14 22:47:08,97.57,5.58
TWR_058,2025-03-25 17:02:28,70.84,20.62
TWR_218,2025-11-20 07:00:47,76.31,59.24
TWR_210,2025-04-12 19:17:48,10.37,21.27
TWR_038,2025-06-06 22:32:20,56.91,58.4
TWR_006,2025-09-05 17:32:37,49.89,24.5
TWR_138,2025-02-11 22:03:16,36.07,19.65
TWR_085,2025-06-15 09:21:15,7.3,93.36
TWR_492,2025-11-02 22:41:24,18.88,37.47
TWR_474,2025-05-17 15:52:48,88.35,43.48
TWR_208,2025-12-29 13:50:45,43.71,66.43
TWR_436,2025-08-05 18:17:49,71.2,60.15
TWR_121,2025-11-13 23:46:36,40.22,7.08
TWR_177,2025-08-16 08:03:52,65.22,36.45
TWR_324,2025-07-15 11:23:54,53.66,24.38
TWR_309,2025-09-20 05:38:51,81.94,71.63
TWR_133,2025-10-27 16:49:20,41.65,27.42
TWR_125,2025-02-09 15:44:07,96.8,55.23
TWR_190,2025-02-06 16:05:14,55.4,89.37
TWR_056,2025-05-18 13:16:32,29.3,0.48
TWR_494,2025-07-09 21:50:12,27.44,40.39
TWR_268,2025-12-20 14:33:56,38.33,27.25
TWR_397,2025-08-12 09:38:57,68.92,59.32
TWR_380,2025-09-29 10:50:34,69.88,40.95
TWR_188,2025-11-26 17:06:30,15.23,84.72
TWR_130,2025-01-14 03:27:44,61.12,6.06
TWR_112,2025-11-09 02:27:00,64.69,75.88
TWR_339,2025-11-08 04:35:13,99.37,70.02
TWR_003,2025-01-25 23:05:31,40.14,60.51
TWR_185,2025-09-05 15:10:44,21.16,25.53
TWR_440,2025-07-18 14:33:00,49.63,28.88
TWR_356,2025-07-26 16:22:39,78.25,9.27
TWR_329,2025-05-19 16:28:17,58.25,42.94
TWR_497,2025-04-30 04:35:38,40.64,34.98
TWR_311,2025-03-08 11:00:16,64.64,2.58
TWR_043,2025-12-19 12:24:17,91.78,69.83
TWR_141,2025-02-01 11:20:14,79.53,75.08
TWR_332,2025-01-30 12:15:04,15.6,20.84
TWR_243,2025-01-05 03:01:26,56.39,73.8
TWR_112,2025-03-29 05:27:25,29.05,94.83
TWR_361,2025-05-01 01:47:07,21.83,50.79
TWR_495,2025-04-10 13:42:04,61.78,81.51
TWR_438,2025-01-20 20:49:00,32.94,36.58
TWR_257,2025-04-02 03:50:49,16.74,18.19
TWR_304,2025-10-23 21:53:49,62.84,18.86
TWR_050,2025-09-04 00:54:38,69.61,46.5
TWR_464,2025-06-20 15:06:51,59.31,90.03
TWR_352,2025-03-07 05:53:18,65.83,71.72
TWR_059,2025-08-25 07:58:22,63.87,74.01
TWR_020,2025-10-13 08:52:48,48.33,65.08
TWR_214,2025-08-15 02:22:20,51.51,80.74
TWR_432,2025-05-21 21:41:54,89.84,47.9
TWR_293,2025-05-12 16:17:21,90.23,88.66
TWR_079,2025-06-06 12:00:23,71.75,82.53
TWR_050,2025-12-02 15:39:09,99.78,46.26
TWR_018,2025-10-31 13:14:35,46.93,64.18
TWR_102,2025-03-31 12:09:46,72.12,63.64
TWR_090,2025-05-08 08:53:59,32.32,26.4
TWR_354,2025-09-28 00:06:14,63.07,99.87
TWR_181,2025-06-09 15:54:46,27.37,35.87
TWR_009,2025-10-07 10:16:33,30.96,24.74
TWR_402,2025-03-19 21:02:35,71.12,46.7
TWR_293,2025-10-20 16:12:08,19.41,83.22
TWR_032,2025-01-30 20:44:55,2.33,90.61
TWR_033,2025-05-02 08:22:47,18.13,28.53
TWR_439,2025-11-24 00:02:55,85.74,38.65
TWR_044,2025-06-22 04:17:07,71.98,65.48
TWR_227,2025-08-14 09:21:20,56.97,89.65
TWR_009,2025-01-04 07:47:05,6.08,46.44
TWR_246,2025-10-30 11:49:22,59.17,25.86
TWR_432,2025-06-08 06:23:51,73.04,76.58
TWR_441,2025-10-13 08:25:14,65.66,56.83
TWR_015,2025-11-30 09:55:57,79.73,52.56
TWR_422,2025-09-11 01:47:43,63.17,42.72
TWR_356,2025-08-18 03:29:45,62.47,73.77
TWR_010,2025-10-11 20:48:42,80.98,78.62
TWR_459,2025-02-16 23:47:50,17.77,39.08
TWR_303,2025-12-08 04:34:09,29.17,84.98
TWR_401,2025-01-09 22:15:17,95.02,84.52
TWR_123,2025-05-17 20:05:31,70.2,10.99
TWR_295,2025-06-18 08:19:25,75.99,42.72
TWR_388,2025-10-02 02:17:23,50.93,52.02
TWR_292,2025-01-28 11:16:29,7.17,37.33
TWR_207,2025-11-06 15:36:15,22.86,35.85
TWR_491,2025-06-04 14:39:23,3.29,94.81
TWR_202,2025-02-07 08:32:21,0.87,33.66
TWR_027,2025-01-07 12:43:23,76.38,85.27
TWR_357,2025-12-16 18:09:37,5.43,64.05
TWR_196,2025-08-26 18:10:21,13.81,65.85
TWR_142,2025-01-02 01:27:21,89.95,3.57
TWR_224,2025-06-09 21:23:01,56.43,44.61
TWR_221,2025-05-31 00:30:59,85.76,72.51
TWR_313,2025-06-05 21:01:04,30.34,93.7
TWR_045,2025-11-23 17:23:52,41.33,56.55
TWR_149,2025-06-01 02:20:58,41.34,50.82
TWR_078,2025-03-07 14:49:28,14.97,22.22
TWR_143,2025-10-06 09:37:47,45.43,35.97
TWR_374,2025-08-24 10:52:17,4.09,84.59
TWR_083,2025-11-22 14:44:24,62.15,40.46
TWR_215,2025-04-09 06:55:49,53.78,67.78
TWR_185,2025-01-22 06:55:08,37.21,78.06
TWR_057,2025-03-25 14:34:47,22.14,21.47
TWR_211,2025-06-11 05:45:59,72.45,77.33
TWR_012,2025-06-23 06:30:48,24.55,52.62
TWR_001,2025-07-04 23:44:52,66.25,43.05
TWR_362,2025-10-02 17:21:52,45.4,17.15
TWR_297,2025-10-25 03:41:02,33.37,90.16
TWR_084,2025-11-04 13:57:55,39.72,35.17
TWR_452,2025-10-11 11:24:53,9.52,45.61
TWR_401,2025-05-27 11:40:03,89.42,73.15
TWR_033,2025-03-13 14:44:21,33.8,63.44
TWR_346,2025-11-24 05:06:41,38.97,29.1
TWR_469,2025-09-09 05:52:20,1.77,84.36
TWR_128,2025-07-22 14:41:21,63.4,62.71
TWR_341,2025-09-01 16:58:22,23.27,4.01
TWR_116,2025-03-15 04:35:17,11.97,81.82
TWR_024,2025-01-23 17:56:17,19.75,49.7
TWR_271,2025-07-30 10:32:27,73.83,80.84
TWR_057,2025-04-24 03:01:28,62.11,70.18
TWR_020,2025-03-31 21:41:16,2.96,43.18
TWR_433,2025-12-06 16:22:42,92.0,75.44
TWR_116,2025-03-15 08:11:26,81.85,12.51
TWR_190,2025-04-23 05:04:55,66.04,92.58
TWR_155,2025-07-13 01:20:15,40.22,40.13
TWR_056,2025-10-19 23:44:26,68.27,37.62
TWR_211,2025-01-05 20:31:32,14.66,79.21
TWR_279,2025-06-03 07:08:58,10.32,23.37
TWR_003,2025-12-28 01:44:51,98.55,93.6
TWR_499,2025-07-08 22:40:03,88.78,48.52
TWR_475,2025-08-30 06:19:02,12.28,84.89
TWR_246,2025-02-28 08:53:51,42.09,64.79
TWR_463,2025-06-17 02:20:45,17.51,36.5
TWR_456,2025-03-11 05:54:26,29.82,42.58
TWR_336,2025-12-13 16:54:30,31.29,74.83
TWR_344,2025-02-04 02:04:54,25.76,11.39
TWR_399,2025-01-20 12:56:05,2.0,25.76
TWR_245,2025-06-15 21:35:33,55.23,92.32
TWR_499,2025-08-24 00:07:09,21.51,69.03
TWR_109,2025-12-07 00:22:43,99.21,12.9
TWR_193,2025-06-05 15:00:35,41.15,9.17
TWR_247,2025-05-06 02:41:39,35.64,30.29
TWR_357,2025-09-29 22:08:52,9.55,82.42
TWR_445,2025-01-07 11:50:38,81.04,26.88
TWR_026,2025-04-28 10:18:51,11.43,51.47
TWR_083,2025-09-04 18:09:18,22.56,72.16
TWR_260,2025-05-29 12:33:53,84.68,93.31
TWR_362,2025-04-14 15:15:30,22.96,13.89
TWR_091,2025-03-03 08:47:08,35.73,54.91
TWR_400,2025-11-30 11:07:18,95.89,50.29
TWR_415,2025-03-22 20:55:00,38.78,95.38
TWR_007,2025-05-30 21:21:23,63.99,88.34
TWR_010,2025-01-03 12:02:08,29.15,50.08
